abbot,Abbot
abdominal,abdominale
abdominal,abdominales
able,Abel
abominable,abominables
abortive,abortivet
abstractions,abstraction
abusive,abusives
accepting,excepting
accessible,accessibles
accessory,accessary
acts,ax
adds,ads
adds,adze
admissions,admission
adolescents,adolescent
adoration,adorations
adverbial,adverbiale
adverbial,adverbiales
aerial,areal
aerial,Ariel
afterwards,afterwords
aides,aids
aides,AIDS
aides,aide
aides,aident
aids,aides
aids,AIDS
aisles,isles
alligator,allegator
allowed,aloud
alms,arms
aloud,allowed
alternatives,alternative
amalgamation,amalgamations
amour,amours
amputation,amputations
analyses,analyse
analyses,analysent
antisocial,antisociale
antisocial,antisociales
appellation,Appalachian
aquarium,aquariums
arid,arit
arises,arise
arises,arisent
arrogant,arrogants
ascent,assent
ashore,assure
asked,arsed
assemblages,assemblage
assent,ascent
associations,association
atlas,Atlas
attends,attend
auger,augur
aural,oral
automobiles,automobile
avocado,abocado
away,aweigh
awed,odd
axle,axel
axle,axil
bacon,bakin'
badges,badge
badges,badgent
bail,bale
bail,baille
bail,baillent
bail,bailles
bail,bye
bait,bate
bald,balled
bald,ballt
bales,bails
balm,bomb
banal,banale
banal,banals
banal,banales
banned,band
barren,baron
based,baste
baseline,bassline
bass,base
bass,Bass
bastion,Bastian
bates,baits
bates,Bates
bats,bat
bats,bât
bats,bas
bazaar,bizarre
beaches,beeches
bears,bares
beats,beets
beauty,booty
beaux,bow
beech,beach
beets,beats
belle,bell
belle,bel
belle,belles
berry,bury
berry,Barry
berry,Mary–marry–merry merger
berth,birth
beta,beater
beta,baiter
beta,betað
beta,veta
betting,bedding
billed,build
bites,bights
bites,bytes
bizarre,bazaar
blew,blue
blight,blite
blocks,blocs
blocs,blocks
blog,blok
blues,blouse
blues,blousent
blues,blouses
blues,blúz
boating,boding
bode,bowed
bolder,boulder
bomber,bumper
bomber,bombeur
borders,boarders
borne,born
bosses,bosse
bought,bot
bowed,bode
brakes,breaks
braking,breaking
brandy,brändi
bray,brae
breached,breeched
breaches,breeches
breaking,braking
breaks,brakes
bred,bread
bridal,bridle
bridle,bridal
brochures,brochure
buckle,buccal
bumper,bomber
bytes,bights
bytes,bites
cache,cash
cache,cachet
callous,callus
callus,callous
calves,carves
canes,Keynes
canine,K9
cape,capent
cape,capes
capitol,capital
caricature,caricatures
caries,carries
caries,karris
carpal,carpel
carved,calved
carver,calver
casserole,casseroles
cassettes,cassette
castor,caster
castor,castors
catalogues,catalogue
caudal,coddle
caudal,cot-caught merger
caudal,caudle
caught,cot
caught,court
caught,horse-hoarse merger
causes,cause
causes,causent
ceded,seeded
celery,salary
cells,sells
cents,sense
cents,since
cents,scents
century,sentry
chairs,chaire
chairs,chaires
chairs,chair
chairs,cher
chairs,chers
chairs,chère
chairs,chère
chairs,cherres
chalk,chock
chances,chance
chased,chaste
chaste,chased
chauffeur,shofar
checks,cheques
checks,Czechs
chefs,chef
chefs,cheffe
chefs,cheffes
chile,Chile
chile,chili
chile,chilli
chile,chilly
chili,Chile
chili,chile
chili,chilli
chili,chilly
chilly,Chile
chilly,chile
chilly,chili
chilly,chilli
china,China
choir,quire
chords,cords
chow,ciao
circuits,circuit
circulation,surculation
citations,citation
cited,sighted
cited,sited
cited,sighted
cited,sited
cited,sided
cites,sites
cites,sights
citing,sighting
citing,siting
citing,sighting
citing,siting
citing,siding
clamor,clammer
claws,clause
cleverly,Cleverley
climbs,climes
clique,click
clique,klick
clique,clic
clique,clics
clique,cliquent
clique,cliques
clothes,close
clowns,clown
coals,kohls
coals,coles
coated,coded
coatings,codings
coats,Coates
cocked,caulked
cocoa,coco
coda,coder
coded,coated
coercive,coercives
coffee,coughy
cognitive,cognitives
coke,kook
collaborations,collaboration
collapses,collapse
collapses,collapsent
collections,collection
colonel,kernel
coloring,culler
coma,comber
coma,comas
combustion,combustions
commandant,commandants
commas,comma
commas,commât
communal,communale
communal,communales
complacent,complaisant
complementary,complimentary
complications,complication
complimentary,complementary
compliments,complements
comptroller,controller
computes,compute
computes,computent
concerto,conserto
condensation,condensations
confines,confine
confines,confinent
conformation,confirmation
congruence,congruences
consciences,conscience
constants,constant
consultants,consultant
contents,comptant
contents,contant
contents,content
conversations,conversation
convictions,conviction
copies,copie
copies,copient
cops,copse
cords,chords
cosine,cosign
cote,coat
councils,counsels
counsels,councils
coups,coos
courier,currier
cows,Cowes
crews,cruise
critiques,critique
cues,queues
curative,curatives
curb,kerb
curb,kirb
custody,custardy
cute,Qt
cynical,sinical
cynicism,Sinicism
cypress,Cyprus
dams,damns
daring,derring
darling,Darling
dates,date
dates,datent
dawned,donned
days,daze
deceased,diseased
deer,dear
deer,dir
deluded,diluted
delusions,dilutions
derrick,Derek
deserts,desserts
dialogues,dialogue
dialogues,dialoguent
discreetly,discretely
discrete,discreet
discussed,disgust
discussions,discussion
does,dohs
does,doughs
does,doze
does,dos
dole,dhole
dole,dolent
dole,doles
done,dun
done,Donn
done,Donne
done,Dunn
done,Dunne
dough,doh
dough,d'oh
dough,doe
drab,drap
drives,drive
drives,drivent
ducked,duct
duel,dual
dues,dews
dusty,dustee
duty,doody
dyed,died
dyes,dies
dying,dyeing
